HymnNumber,Text,CleanedText
2,"Previous Hymn Next Hymn Favorite Create Come, Thou Almighty King Added to Favorites Lyrics 1 Come, thou almighty King, help us thy name to sing; help us to praise: Father, all glorious, o'er all victorious, come, and reign over us, Ancient of Days. 2 Come, thou incarnate Word, merciful, mighty Lord, our prayer attend. Come, and thy people bless, and give thy word success; Spirit of holiness, on us descend. 3 Come, holy Comforter, thy sacred witness bear in this glad hour. Thou who almighty art, now rule in every heart, and ne'er from us depart, Spirit of power. 4 To thee, great One in Three, eternal praises be, hence evermore! Thy sovereign majesty may we in glory see, and to eternity love and adore. Informational Notes The author of this Trinitarian text is unknown, but this hymn has proved popular since the middle of the 18th century, partly because of its effective use of biblical metaphors, but also because of the strength of this tune, which was composed especially for these words.","1 Come, thou almighty King, help us thy name to sing; help us to praise: Father, all glorious, o'er all victorious, come, and reign over us, Ancient of Days. 2 Come, thou incarnate Word, merciful, mighty Lord, our prayer attend. Come, and thy people bless, and give thy word success; Spirit of holiness, on us descend. 3 Come, holy Comforter, thy sacred witness bear in this glad hour. Thou who almighty art, now rule in every heart, and ne'er from us depart, Spirit of power. 4 To thee, great One in Three, eternal praises be, hence evermore! Thy sovereign majesty may we in glory see, and to eternity love and adore."
3,"Previous Hymn Next Hymn Favorite Create Womb of Life and Source of Being Added to Favorites Lyrics 1 Womb of life and source of being, home of every restless heart, in your arms the worlds awakened; you have loved us from the start. We, your children, gather 'round you, at the table you prepare. Sharing stories, tears, and laughter, we are nurtured by your care. 2 Word in flesh, our brother Jesus, born to bring us second birth, you have come to stand beside us, knowing weakness, knowing earth. Priest who shares our human struggles, Life of Life and Death of Death, risen Christ, come stand among us, send the Spirit by your breath. 3 Brooding Spirit, move among us; be our partner, be our friend. When our memory fails, remind us whose we are, what we intend. Labor with us; aid the birthing of the new world yet to be, free of servant, lord, and master, free for love and unity. 4 Mother, Brother, holy Partner; Father, Spirit, Only Son: we would praise your name forever, one-in-three and three-in-one. We would share your life, your passion, share your word of world made new, ever singing, ever praising, one with all, and one with you. Informational Notes Old and new metaphors drawn from Psalm 23; John 1:14, 14:26, 20:19–23; Hebrews 5:1–10; and Genesis 1:1–2 combine here to express faith in and praise to the Triune God, identified as Source, Word, and Spirit. The second line of stanza two is adapted from Charles Wesley (see no. 119).","1 Womb of life and source of being, home of every restless heart, in your arms the worlds awakened; you have loved us from the start. We, your children, gather 'round you, at the table you prepare. Sharing stories, tears, and laughter, we are nurtured by your care. 2 Word in flesh, our brother Jesus, born to bring us second birth, you have come to stand beside us, knowing weakness, knowing earth. Priest who shares our human struggles, Life of Life and Death of Death, risen Christ, come stand among us, send the Spirit by your breath. 3 Brooding Spirit, move among us; be our partner, be our friend. When our memory fails, remind us whose we are, what we intend. Labor with us; aid the birthing of the new world yet to be, free of servant, lord, and master, free for love and unity. 4 Mother, Brother, holy Partner; Father, Spirit, Only Son: we would praise your name forever, one-in-three and three-in-one. We would share your life, your passion, share your word of world made new, ever singing, ever praising, one with all, and one with you."
4,"Previous Hymn Next Hymn Favorite Create Holy God, We Praise Your Name Added to Favorites Lyrics 1 Holy God, we praise your name; Lord of all, we bow before you. All on earth your scepter claim; all in heaven above adore you. Infinite your vast domain, everlasting is your reign. 2 Hark! The glad celestial hymn angel choirs above are raising; cherubim and seraphim, in unceasing chorus praising, fill the heavens with sweet accord: “Holy, holy, holy Lord!” 3 All apostles join the strain as your sacred name they hallow; prophets swell the glad refrain, and the blessed martyrs follow, and from morn to set of sun, through the church the song goes on. 4 Holy Father, Holy Son, Holy Spirit: three we name you, while in essence only one; undivided God we claim you, and adoring, bend the knee while we own the mystery. Informational Notes Based on an 18th-century German metrical version of a celebrated 5th-century Latin hymn, Te Deum laudamus, this abbreviated 19th-century English paraphrase is sung by both Protestants and Roman Catholics. It is set here to the tune composed and named for the German version.","1 Holy God, we praise your name; Lord of all, we bow before you. All on earth your scepter claim; all in heaven above adore you. Infinite your vast domain, everlasting is your reign. 2 Hark! The glad celestial hymn angel choirs above are raising; cherubim and seraphim, in unceasing chorus praising, fill the heavens with sweet accord: “Holy, holy, holy Lord!” 3 All apostles join the strain as your sacred name they hallow; prophets swell the glad refrain, and the blessed martyrs follow, and from morn to set of sun, through the church the song goes on. 4 Holy Father, Holy Son, Holy Spirit: three we name you, while in essence only one; undivided God we claim you, and adoring, bend the knee while we own the mystery."
5,"Previous Hymn Next Hymn Favorite Create God the Sculptor of the Mountains Added to Favorites Lyrics 1 God the sculptor of the mountains, God the miller of the sand, God the jeweler of the heavens, God the potter of the land: you are womb of all creation; we are formless; shape us now. 2 God the nuisance of the Pharaoh, God the cleaver of the sea, God the pillar in the darkness, God the beacon of the free: you are fount of all deliverance; we are aimless; lead us now. 3 God the dresser of the vineyard, God the planter of the wheat, God the reaper of the harvest, God the source of all we eat: you are host at every table; we are hungry; feed us now. 4 God the unexpected infant, God the calm, determined youth, God the table-turning prophet, God the resurrected truth: you are present every moment; we are searching; meet us now. Informational Notes Despite the great sweep of these stanzas, each one ends by describing how our human condition needs God’s help: formless, aimless, hungry, searching.  Each of these adjectives is followed by a related three-syllable petition: shape us now, lead us now, feed us now, meet us now.","1 God the sculptor of the mountains, God the miller of the sand, God the jeweler of the heavens, God the potter of the land: you are womb of all creation; we are formless; shape us now. 2 God the nuisance of the Pharaoh, God the cleaver of the sea, God the pillar in the darkness, God the beacon of the free: you are fount of all deliverance; we are aimless; lead us now. 3 God the dresser of the vineyard, God the planter of the wheat, God the reaper of the harvest, God the source of all we eat: you are host at every table; we are hungry; feed us now. 4 God the unexpected infant, God the calm, determined youth, God the table-turning prophet, God the resurrected truth: you are present every moment; we are searching; meet us now."
6,"Previous Hymn Next Hymn Favorite Create I Bind unto Myself Today Added to Favorites ‹ › Lyrics 1 I bind unto myself today the strong name of the Trinity by invocation of the same, the Three in One and One in Three. 2 I bind this day to me forever, by power of faith, Christ’s incarnation, his baptism in the Jordan river, his death on cross for my salvation, his bursting from the spiced tomb, his riding up the heavenly way, his coming at the day of doom, I bind unto myself today. 3 I bind unto myself today the virtues of the starlit heaven, the glorious sun’s life-giving ray, the whiteness of the moon at even, the flashing of the lightning free, the whirling wind’s tempestuous shocks, the stable earth, the deep salt sea around the old eternal rocks. 4 I bind unto myself today the power of God to hold and lead, God’s eye to watch, God’s might to stay, God’s ear to hearken to my need, the wisdom of my God to teach, God’s hand to guide, God’s shield to ward, the word of God to give me speech, God’s heavenly host to be my guard. 5 Christ be with me, Christ within me, Christ behind me, Christ before me, Christ beside me, Christ to win me, Christ to comfort and restore me. Christ beneath me, Christ above me, Christ in quiet, Christ in danger, Christ in hearts of all that love me, Christ in mouth of friend and stranger. 6 I bind unto myself the name, the strong name of the Trinity by invocation of the same, the Three in One and One in Three, of whom all nature has creation, eternal Father, Spirit, Word. Praise to the Lord of my salvation; salvation is of Christ the Lord! Informational Notes This great Trinitarian text belongs to a Celtic style of hymn known as a lorica, from the Latin word for “armor” or “breastplate.” In effect, it serves as both a statement of faith and a prayer for God’s protection. The two tunes are named for an Irish saint and an Irish heroine.","1 I bind unto myself today the strong name of the Trinity by invocation of the same, the Three in One and One in Three. 2 I bind this day to me forever, by power of faith, Christ’s incarnation, his baptism in the Jordan river, his death on cross for my salvation, his bursting from the spiced tomb, his riding up the heavenly way, his coming at the day of doom, I bind unto myself today. 3 I bind unto myself today the virtues of the starlit heaven, the glorious sun’s life-giving ray, the whiteness of the moon at even, the flashing of the lightning free, the whirling wind’s tempestuous shocks, the stable earth, the deep salt sea around the old eternal rocks. 4 I bind unto myself today the power of God to hold and lead, God’s eye to watch, God’s might to stay, God’s ear to hearken to my need, the wisdom of my God to teach, God’s hand to guide, God’s shield to ward, the word of God to give me speech, God’s heavenly host to be my guard. 5 Christ be with me, Christ within me, Christ behind me, Christ before me, Christ beside me, Christ to win me, Christ to comfort and restore me. Christ beneath me, Christ above me, Christ in quiet, Christ in danger, Christ in hearts of all that love me, Christ in mouth of friend and stranger. 6 I bind unto myself the name, the strong name of the Trinity by invocation of the same, the Three in One and One in Three, of whom all nature has creation, eternal Father, Spirit, Word. Praise to the Lord of my salvation; salvation is of Christ the Lord!"
7,"Previous Hymn Next Hymn Favorite Create Mothering God, You Gave Me Birth Added to Favorites Lyrics 1 Mothering God, you gave me birth in the bright morning of this world. Creator, source of every breath, you are my rain, my wind, my sun. 2 Mothering Christ, you took my form, offering me your food of light, grain of life, and grape of love, your very body for my peace. 3 Mothering Spirit, nurturing one, in arms of patience hold me close, so that in faith I root and grow until I flower, until I know. Informational Notes As the tune name hints, this text is derived from images in the writings of the English medieval mystic, Julian of Norwich. In 1393 she wrote down an account of her sixteen remarkable visions experienced twenty years earlier; they formed the basis of her theology of God’s love.","1 Mothering God, you gave me birth in the bright morning of this world. Creator, source of every breath, you are my rain, my wind, my sun. 2 Mothering Christ, you took my form, offering me your food of light, grain of life, and grape of love, your very body for my peace. 3 Mothering Spirit, nurturing one, in arms of patience hold me close, so that in faith I root and grow until I flower, until I know."
8,"Previous Hymn Next Hymn Favorite Create Eternal Father, Strong to Save Added to Favorites Lyrics 1 Eternal Father, strong to save, whose arm has bound the restless wave, who bade the mighty ocean deep its own appointed limits keep: O hear us when we cry to thee for those in peril on the sea. 2 O Savior, whose almighty word the winds and waves submissive heard, who walked upon the foaming deep, and calm amid its rage did sleep: O hear us when we cry to thee for those in peril on the sea. 3 O Holy Spirit, who did brood upon the chaos wild and rude, and bade its angry tumult cease, and gave, for fierce confusion, peace: O hear us when we cry to thee for those in peril on the sea. 4 O Trinity of love and power, all travelers guard in danger's hour; from rock and tempest, fire and foe, protect them wheresoe'er they go; thus evermore shall rise to thee glad praise from air and land and sea. Informational Notes The year after this text was written for a student sailing to America, it was included in the most influential British hymnal of the 19th century. The tune especially composed for it preserves the ancient Roman name of the island where Paul was shipwrecked, now called Malta.","1 Eternal Father, strong to save, whose arm has bound the restless wave, who bade the mighty ocean deep its own appointed limits keep: O hear us when we cry to thee for those in peril on the sea. 2 O Savior, whose almighty word the winds and waves submissive heard, who walked upon the foaming deep, and calm amid its rage did sleep: O hear us when we cry to thee for those in peril on the sea. 3 O Holy Spirit, who did brood upon the chaos wild and rude, and bade its angry tumult cease, and gave, for fierce confusion, peace: O hear us when we cry to thee for those in peril on the sea. 4 O Trinity of love and power, all travelers guard in danger's hour; from rock and tempest, fire and foe, protect them wheresoe'er they go; thus evermore shall rise to thee glad praise from air and land and sea."
9,"Previous Hymn Next Hymn Favorite Create The Play of the Godhead Added to Favorites Lyrics 1 The play of the Godhead, the Trinity’s dance, embraces the earth in a sacred romance: with God the Creator, and Christ the true Son, entwined with the Spirit, a web daily spun in spangles of mystery, the great Three-in-One. 2 The warm mists of summer, cool waters that flow, turn crystal as ice when the wintry winds blow. The taproot that nurtures, the shoot growing free, the life-giving fruit, full and ripe on the tree: more mystic and wondrous, the great One-in-Three. 3 In God’s gracious image of co-equal parts, we gather as dancers, uniting our hearts. Men, women, and children, and all living things, we join in the round of bright nature that rings with rapture and rhythm: creation now sings! Informational Notes This text gives life to the theological term perichoresis, a mutual, encompassing interaction, sometimes called “the threefold dance of the Trinity.” Stanza two notes various “natural analogies” for the Trinity (steam/water/ice; root/shoot/fruit) that have been found inadequate.","1 The play of the Godhead, the Trinity’s dance, embraces the earth in a sacred romance: with God the Creator, and Christ the true Son, entwined with the Spirit, a web daily spun in spangles of mystery, the great Three-in-One. 2 The warm mists of summer, cool waters that flow, turn crystal as ice when the wintry winds blow. The taproot that nurtures, the shoot growing free, the life-giving fruit, full and ripe on the tree: more mystic and wondrous, the great One-in-Three. 3 In God’s gracious image of co-equal parts, we gather as dancers, uniting our hearts. Men, women, and children, and all living things, we join in the round of bright nature that rings with rapture and rhythm: creation now sings!"
10,"Previous Hymn Next Hymn Favorite Create Sing Glory to the Name of God Added to Favorites ‹ › Lyrics 1 Sing glory to the name of God, whose holy splendor shines abroad. Alleluia, alleluia! Enthroned above the crashing waves, the God of grace and glory saves. Alleluia, alleluia! Alleluia, alleluia, alleluia! 2 The name of God is full of might: resounding thunder, flashing light. Alleluia, alleluia! The wilderness cannot contain the echoes of the great refrain: Alleluia, alleluia! Alleluia, alleluia, alleluia! 3 The name of God is wild and free, awhirl in holy mystery. Alleluia, alleluia! A secret wrapped in smoke and fire, still chanted by the temple choir: Alleluia, alleluia! Alleluia, alleluia, alleluia! 4 May God forever be our peace; may hymns of glory never cease: Alleluia, alleluia! Let all the faithful people come; sing praise to God, the Three-in-One: Alleluia, alleluia! Alleluia, alleluia, alleluia! Informational Notes This sweeping paraphrase of Psalm 29 conveys a sense of the Jewish reverence for the sheer power of God’s name, regarded as too holy for mortal tongues to pronounce. In keeping with its appointment for Trinity Sunday, the final stanza gives the psalm a Christian interpretation.","1 Sing glory to the name of God, whose holy splendor shines abroad. Alleluia, alleluia! Enthroned above the crashing waves, the God of grace and glory saves. Alleluia, alleluia! Alleluia, alleluia, alleluia! 2 The name of God is full of might: resounding thunder, flashing light. Alleluia, alleluia! The wilderness cannot contain the echoes of the great refrain: Alleluia, alleluia! Alleluia, alleluia, alleluia! 3 The name of God is wild and free, awhirl in holy mystery. Alleluia, alleluia! A secret wrapped in smoke and fire, still chanted by the temple choir: Alleluia, alleluia! Alleluia, alleluia, alleluia! 4 May God forever be our peace; may hymns of glory never cease: Alleluia, alleluia! Let all the faithful people come; sing praise to God, the Three-in-One: Alleluia, alleluia! Alleluia, alleluia, alleluia!"
11,"Previous Hymn Next Hymn Favorite Create Source and Sovereign, Rock and Cloud Added to Favorites Lyrics 1 Source and Sovereign, Rock and Cloud, Fortress, Fountain, Shelter, Light, Judge, Defender, Mercy, Might, Life whose life all life endowed: Refrain: May the church at prayer recall that no single holy name but the truth behind them all is the God whom we proclaim. 2 Word and Wisdom, Root and Vine, Shepherd, Savior, Servant, Lamb, Well and Water, Bread and Wine, Way who leads us to I am:  (R) 3 Storm and Stillness, Breath and Dove, Thunder, Tempest, Whirlwind, Fire, Comfort, Counselor, Presence, Love, Energies that never tire: (R) Informational Notes These scriptural names and images of the Triune God express a theological view reinforced by the structure: the stanzas deal, in turn, with each Person of the Trinity and the refrain affirms their unity. The swirling patterns of the Welsh tune add much energy to the text.","1 Source and Sovereign, Rock and Cloud, Fortress, Fountain, Shelter, Light, Judge, Defender, Mercy, Might, Life whose life all life endowed: Refrain: May the church at prayer recall that no single holy name but the truth behind them all is the God whom we proclaim. 2 Word and Wisdom, Root and Vine, Shepherd, Savior, Servant, Lamb, Well and Water, Bread and Wine, Way who leads us to I am:  (R) 3 Storm and Stillness, Breath and Dove, Thunder, Tempest, Whirlwind, Fire, Comfort, Counselor, Presence, Love, Energies that never tire: (R)"
